"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/06/18 8:11:49 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Government employee","Public Sector","Frequently","Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Forests;Urban areas;Marché public ","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media","Yes","Cancer aujourd'hui avec les PVC ou le constituant chimique se trouvant dans la composition de ceci ","Yes","TV;Radio;WhatsApp","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Redesigning packaging;Industrial recycling;Upcycling waste materials","NGOs","1) implanter les usines pour recycler ces plastiques et former les gens sur ce domaine d'environnement 
2) éduquer la population par le changement de la mentalité 
3) Faire de ce problème une priorité du gouvernement dans son programme d'actions ","Ban on single-use plastics;National awareness campaigns;Incentives for plastic alternatives","Réduire l'utilisation des ces dechets","Better waste facilities","Interdiction de toutes les usines de boissons en plastique ","Beaucoup de sensibilisation au niveau communautaire et des stratégies pour réduire ce danger pour la.sante et surtout pour la génération future"
"2025/06/18 8:45:21 PM GMT+4","République Démocratique du Congo","18-24","Male","Bachelor’s degree","Student","Student","Frequently","Roadsides;Rivers/Lakes","Yes","Marine/coastal areas","Extremely concerned","Somewhat knowledgeable","Social Media;Scientific publications;School/University","Yes","La pollution liées au déchLes  :




⚠️ 1. Voies d’exposition principales

Les humains sont exposés aux microplastiques par :

Ingestion : via l’eau potable, les fruits de mer, le sel, le miel, etc.


 Effets spécifiques sur la santé

a. Inflammation et stress oxydatif

Les microplastiques peuvent induire une inflammation chronique dans les tissus (intestin, foie, poumons).

Ils génèrent des espèces réactives de l’oxygène (ROS), causant du stress oxydatif, ce qui peut endommager les cellules, les protéines et l’ADN.


b. Effets gastro-intestinaux

Irritation de la muqueuse intestinale.

Perturbation du microbiote intestinal.

Risques d’augmentation de la perméabilité intestinale (""leaky gut""), facilitant l’entrée d’autres toxines.


c. Perturbations endocriniennes

Certains microplastiques libèrent des additifs chimiques toxiques (ex. : bisphénol A, phtalates).

Ces substances agissent comme perturbateurs endocriniens, affectant la fertilité, la croissance, et le développement neurologique.

Implication possible dans le développement de cancers hormonodépendants (sein, prostate).


d. Toxicité hépatique et rénale

Accumulation dans le foie et les reins observée chez les animaux modèles.

Altération de la fonction hépatique (stress oxydatif, perturbation enzymatique).


e. Effets neurologiques

Des études animales montrent une neurotoxicité potentielle, avec des signes de troubles du comportement et de la mémoire.

Risques d’altération du développement cérébral chez les jeunes exposés in utero.


f. Effets cardiovasculaires

Association potentielle avec une augmentation du stress systémique, de l’inflammation vasculaire, et des troubles métaboliques (obésité, diabète).



","Yes","TV;Public forums","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Upcycling waste materials;Government incentives for recyclers","Government;Private companies;NGOs","1. Manque d'infrastructures de gestion des déchets
2. Insuffisance de financement et d'investissement
3.Manque de sensibilisation et d'éducation ","Increased recycling infrastructure;Integration into school curricula;Strict enforcement of waste laws","Brûler les déchets plastiques après son utilisation ","Financial incentives","1. Réduction à la source

Interdiction ou limitation progressive des plastiques à usage unique (sachets, pailles, gobelets, emballages non recyclables).

Promotion d’alternatives durables : matériaux biodégradables, emballages compostables, récipients réutilisables.

Encouragement à l’écoconception des produits pour faciliter leur recyclage ou leur réutilisation.

 2. Renforcement de la législation et des politiques publiques

Mise en œuvre de la Responsabilité élargie du producteur (REP) : les fabricants doivent financer la collecte, le traitement et le recyclage de leurs produits plastiques.

Fixation d’objectifs nationaux de réduction, de collecte et de recyclage.

Instauration de taxes écologiques sur les plastiques vierges pour favoriser les matériaux recyclés.

3. Développement de l’économie circulaire

Soutien aux filières locales de recyclage, y compris les petites entreprises et les coopératives.

Création de zones industrielles circulaires intégrant la valorisation des déchets plastiques.

Favoriser l’achat public responsable, en privilégiant les produits recyclés et recyclables.

 4. Éducation, sensibilisation et changement de comportement

Campagnes d'information sur les impacts des plastiques et les gestes écoresponsables.

Intégration de l’éducation à l’environnement dans les programmes scolaires.

Promotion de la consommation sobre et responsable (zéro déchet, vrac, réparabilité).

5. Coopération internationale et gouvernance mondiale

Soutien au traité international sur la pollution plastique (en négociation depuis 2022 à l’ONU).

Partage des bonnes pratiques entre pays (politiques, innovations technologiques, gestion des déchets).

Lutte contre le trafic transfrontalier de déchets plastiques, souvent illégal et nocif.

6. Recherche scientifique et innovation

Développement de technologies de détection, filtration et traitement des microplastiques (stations d’épuration, filtres pour textiles synthétiques).

Recherche sur les matériaux biosourcés, compostables et non toxiques.

Études d’impact sur la santé humaine et les écosystèmes pour mieux orienter les politiques.

 7. Protection des milieux naturels

Nettoyage des rivières, plages, et zones humides via des programmes publics ou communautaires.

Mise en place de barrières anti-déchets dans les cours d’eau (ex. : The Ocean Cleanup).
Restauration des écosystèmes dégradés (mangroves, littoraux, fonds marins).

8. Intégration du secteur informel

Reconnaissance et soutien des récupérateurs et trieurs informels, souvent premiers acteurs du recyclage en Afrique et ailleurs.

Accès à la protection sociale, à la formation et à l’équipement.
","Absolument. Au-delà des mesures classiques, il existe des approches innovantes, des expériences réussies et des recommandations stratégiques qui peuvent enrichir la lutte contre la pollution plastique et microplastique, en particulier dans des contextes comme l’Afrique ou les pays en développement. Voici quelques suggestions supplémentaires :


1. Encourager les innovations locales adaptées au contexte

Des solutions simples, peu coûteuses et localement reproductibles ont montré leur efficacité :

Pavés ou briques en plastique recyclé (ex. : Gjenge Makers au Kenya).

Écotextiles à base de déchets plastiques (sacs, uniformes, chaussures).

Toitures en plastique recyclé, isolantes et durables.

Transformation de déchets plastiques en carburant (pyrolyse artisanale).


Recommandation : Créer des incubateurs de projets verts pour soutenir l’entrepreneuriat circulaire.


---
2. Mettre en place des systèmes de consigne et de retour

Les systèmes de consigne incitent à la récupération des plastiques usagés :

Bouteilles consignées (PET, verre) avec prime de retour.

Partenariats entre distributeurs, producteurs et municipalités.


 Recommandation : Adopter une logique d’économie de la fonctionnalité, où le consommateur loue ou emprunte plutôt qu’achète et jette.


---

3. Utiliser le numérique pour tracer, collecter et éduquer

Des applications mobiles ou plateformes communautaires peuvent :

Cartographier les zones les plus polluées.

Récompenser les comportements vertueux (ex. : « déchets contre données » ou bons d’achat).

Faciliter le signalement de décharges illégales.


📌 Exemple : Wecyclers (Nigeria) qui utilise des vélos cargo et des SMS pour collecter les déchets dans les quartiers populaires.


---

4. S’appuyer sur les traditions et les savoirs locaux

Avant l’arrivée massive du plastique, de nombreuses cultures utilisaient :

Des emballages biodégradables (feuilles de bananier, calebasses, paniers en fibres).

Des objets réutilisables faits à la main (gourdes, filets).


📌 Recommandation : Revaloriser ces pratiques dans les écoles, les campagnes de sensibilisation et les projets communautaires.


---

5. Créer des alliances multi-acteurs

Le problème plastique est transversal. Il nécessite :

Des coalitions entre ONG, entreprises, gouvernements et citoyens.

L’implication des chefs coutumiers, des religieux, des influenceurs.

L’intégration dans les programmes climat, biodiversité et santé publique.


📌 Recommandation : Former des tables rondes locales sur l’économie circulaire pour planifier et coordonner les actions.

6. S’inspirer de bonnes pratiques internationales

Quelques exemples :

Rwanda : pionnier en Afrique avec l’interdiction des sacs plastiques dès 2008.

Chili : interdiction des sacs plastiques dans toutes les communes depuis 2018.

UE : stratégie plastique 2030 avec étiquetage, recyclage obligatoire et normes d’écoconception.


📌Suggestion : Participer à des réseaux comme la Fondation Ellen MacArthur, ou des forums régionaux (UEMOA, CEEAC, COMESA) pour échanger et apprendre.


--

 En résumé :

> La lutte contre les plastiques est une opportunité de transformation.
Elle peut générer des emplois verts, soutenir l’innovation, renforcer les communautés, et réduire la pression environnementale.







"
"2025/06/18 8:45:22 PM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/18 8:48:34 PM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media;Scientific publications;NGOs","Yes","Les risques sanitaires  communautaires: les decharges de plastiques attirent des nuisibles et favorisent la prolifération de bactéries/moustiques(paludisme)","Yes","Radio;WhatsApp;Facebook;Newspapers;YouTube","Climate and environmental damage","Moderately","No","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Private companies;Local communities;NGOs","Manque d'infrastructures, financement insuffisant et technologies limitées.","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Utiliser des objets réutilisables, éviter les produits suremballés,recycler correctement,sensibilisation autour de soi et soutenir des initiatives locales.","Better waste facilities","Interdire ou limiter les plastiques à usages uniques(sachet,pailles,emballages),avoir un système de gestion des déchets efficace et promouvoir l'éducation environnementale. ",""
"2025/06/18 8:49:19 PM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media;NGOs;School/University","Yes","cancer risk, inflammatory reactions, endocrine disruption.","No","TV;WhatsApp;YouTube","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;Local communities","The circular economy’s greatest hurdles in this context are infrastructure gaps, lack of public engagement, insufficient policies, and financial and technological limitations","Integration into school curricula;Public-private partnerships;Community-based waste management","Community-based waste management","Health education","multi-level approach combining policy reform, innovation, public behavior change, and international collaboration","any one"
"2025/06/18 8:55:26 PM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs","Yes","","Yes","TV;Radio","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Moderately","No","Reusing and repairing products;Redesigning packaging;Composting and biodegradables","Government;Startups;Local communities","The use of plastic bottles in the all compagnies ","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula;Incentives for plastic alternatives","Personnel action ","Financial incentives","Build Recycling center",""
"2025/06/18 8:59:09 PM GMT+4","République Démocratique du Congo","45-54","Male","Bachelor’s degree","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media","Yes","Effet sur l'agriculture, effet sur la meilleure oxygénation des rivières","Yes","Radio;WhatsApp","Microplastics in drinking water;Climate and environmental damage","Slightly","No","Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies","Il y a juste une société qui achète les déchets plastiques par kilo pour le recyclage sauf les montants proposés n'attirent pas la population ","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Les seules mesures que nous prenions c'est de jetter les déchets plastiques dans des endroits appropriés sauf que les gouvernements ne disposent pas des poubelles publiques et même si nous les jetons dans nos poubelles à la maison rien ne nous rassure que les gens qui viennent les prendre les jettent dans des endroits appropriés.","Better waste facilities","Le gouvernement doit prendre de mesures adéquates pour éviter les déchets plastiques partout. Une bonne sensibilisation de la population par les médias, créer des sociétés de recyclage des déchets plastiques.","Non"
"2025/06/18 9:04:46 PM GMT+4","République Démocratique du Congo","35-44","Female","Master’s degree or higher","Government employee","Public Sector","Frequently","Roadsides;Rivers/Lakes;Markets or open-air areas","Yes","Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications;School/University;Community leaders","Yes","","No","WhatsApp;TikTok;YouTube;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Government policy changes","Very significantly","Yes","Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Private companies;Local communities","","Integration into school curricula;Public-private partnerships","Aucune action","Health education","","Ras"
"2025/06/18 9:25:07 PM GMT+4","République Démocratique du Congo","25-34","Female","Bachelor’s degree","Commercial ","Private Sector","Frequently","Roadsides","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;Religious institutions","Yes","Maladie ","Yes","TV;Radio;Facebook;Newspapers;Public forums;Religious institutions","Climate and environmental damage","Moderately","No","None","I’m not sure","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns","Le recyclage ","Better waste facilities","Interdiction des productions des plastiques ",""
"2025/06/18 9:31:31 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Marine/coastal areas;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications","Yes","Respiratory problems ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;YouTube;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","No","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling","Private companies","I don’t know ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","I keep my plastic bottles to throw them away at home","Better waste facilities","Better waste management ","Every day this problem gets worse, let’ s take time to solve it"
"2025/06/18 9:54:23 PM GMT+4","France","65 and above","Male","Master’s degree or higher","Indépendant ","Private Sector","Occasionally","Urban dumpsites","No","Urban areas","Moderately concerned","Somewhat knowledgeable","Television","Yes","No","No","TV","I don’t recall any","Not at all","Yes","Government incentives for recyclers","Government","No","Ban on single-use plastics","No","Religious/cultural messaging","No","No"
"2025/06/18 9:54:54 PM GMT+4","République Démocratique du Congo","35-44","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Urban areas","Extremely concerned","Very knowledgeable","Social Media;NGOs;School/University;Community leaders;Religious institutions","Yes","Ça peut donné la maladie","Yes","TV;Radio;Facebook;Newspapers;Public forums","Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Composting and biodegradables","Government;NGOs","Négligence /manque de suivi et évaluation ","Ban on single-use plastics;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws","Installation des poubelles publique ","Better waste facilities","Implication des ONG locales pour la sensibilisation ","- Décentralisation des activités au niveau de la base"
"2025/06/18 10:04:30 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Researcher / Academic","Public Sector","Frequently","Roadsides","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications","Yes","Cancer","Yes","TV","Climate and environmental damage","Moderately","No","Reusing and repairing products;Industrial recycling","Private companies","The knowledge of this topics","Increased recycling infrastructure;National awareness campaigns;Community-based waste management","Nothing ","Better waste facilities","Sensibilization","No thing"
"2025/06/18 10:44:36 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications;School/University","Yes","Cancers","Yes","Facebook;YouTube","Threats to marine life;Microplastics in drinking water;Climate and environmental damage;Government policy changes","Moderately","Yes","Redesigning packaging","Private companies;Startups;NGOs","","Increased recycling infrastructure;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","","Religious/cultural messaging","Éducation ",""
"2025/06/18 11:15:20 PM GMT+4","Ethiopia","25-34","Male","Bachelor’s degree","Government employee","Public Sector","Occasionally","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;School/University;Community leaders","Yes","Reproductive problems: Infertility, abnormal sex organ development, early puberty, endometriosis, decreased sperm quality.
   * Metabolic disorders: Obesity, type 2 diabetes, insulin resistance.
   * Neurological and behavioral issues: Learning and attention difficulties (e.g., ADHD), anxiety, depression, neurodegenerative diseases (Alzheimer's, Parkinson's).
   * Cancers: Increased risk of certain cancers, including breast, prostate, and thyroid cancer.
   * Immune system dysfunction: Autoimmune diseases, increased infection risk, diminished immune response to vaccines.","Yes","TV;Radio;Facebook;TikTok;Newspapers;YouTube;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Government;NGOs","Lack of fuctory","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships","Ferst can't use 
Teach every one can burn ","Health education","Upstream Solutions (Reducing Plastic Production and Consumption):
 * Policy and Regulation:
   * Global Treaty: Push for the swift negotiation and implementation of a legally binding global treaty on plastic pollution that addresses the entire lifecycle of plastics, from production to disposal, as advocated by UNEP. This should include targets for reduction, reuse, and recycling.
   * Bans and Restrictions: Implement and enforce bans on problematic and unnecessary single-use plastics (e.g., straws, bags, cutlery, certain packaging).","Nothing"
"2025/06/18 11:28:53 PM GMT+4","Rwanda","35-44","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes","Yes","Freshwater ecosystems;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Pneumoconiosis, airway cancer COPD","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Redesigning packaging","Government;Private companies;Local communities","Will cause decreased economy in our country  property do to health care for treating related diseases ","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula","To train population on consequences of air pollution and how good is to prevent air pollution ","Financial incentives","It depends on source of air pollution 
If from factories . It is better to build factory far from inhabitants place 
Establishment of procedure of management of micro plastic waste 
And inform involved peoples 
","It is better to involve all continents on avoiding air pollution with microplastic even developed country "
"2025/06/18 11:35:27 PM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Scientific publications;School/University","Yes","Risque cardiovasculaire ","Yes","TV;Radio","Threats to marine life;Microplastics in drinking water;Government policy changes","Moderately","No","Industrial recycling;Upcycling waste materials","Private companies","Je ne sais pas ","Incentives for plastic alternatives;Strict enforcement of waste laws","Utiliser moins les plastiques ","Health education","Appliquer les lois mises en place ",""
"2025/06/18 11:41:23 PM GMT+4","République Démocratique du Congo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/19 9:21:32 AM GMT+4","République Démocratique du Congo","35-44","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Urban dumpsites","Yes","Urban areas","Moderately concerned","Heard about it but unsure","Television;Social Media","Yes","Pulmonary effect","Not sure","Facebook","Microplastics in drinking water","Very significantly","No","Upcycling waste materials","I’m not sure","Industrial recycling","Increased recycling infrastructure","I dont put plastic everywhere","Community leadership","Goverment implications",""
"2025/06/19 9:40:44 AM GMT+4","République Démocratique du Congo","45-54","Female","Diploma or equivalent","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","Les troubles du système immunitaire, les inflammations,des problèmes cardio-vasculaires,potentiellement des risques accrus de certains cancer...","Yes","TV;WhatsApp;Facebook","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;Schools/universities;NGOs","L'éducation de la population sur la gestion efficiente de déchets plastiques. ","National awareness campaigns;Integration into school curricula;Community-based waste management","Moins les utiliser et mieux gérer ceux  qu'on utilise en les recyclant pour un usage d'utilisation durable.","Religious/cultural messaging","Sanction sévère pour toute personne qui géréra mal ses déchets plastiques,
surveillance mutuelle à base communautaire. ","Non,merci. "
"2025/06/19 10:01:12 AM GMT+4","République Démocratique du Congo","65 and above","Male","Master’s degree or higher","Health professional","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Maladiies digestives reanales hépatiques intoxications cancer ","Yes","TV;Facebook;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;NGOs","Prise de conscience de la population et implication du gouvernement ","Ban on single-use plastics;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Community-based waste management","Changer le plastique en emballage biodegradable","Health education","Éducation des masses et présentation des dangers ","Que les industriels stoppent la fabrication des plastiques et cherchent une autre solution "
"2025/06/19 10:07:41 AM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Health professional","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Heard about it but unsure","Social Media;Scientific publications","Yes","Ingestion au niveau de l'intestin","Not sure","TV;Radio;WhatsApp;Facebook","Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups","Moderately","No","Reusing and repairing products;Industrial recycling","I’m not sure","jamais entendu parler","Increased recycling infrastructure;Strict enforcement of waste laws","organiser un système le retour des déchets plastiques auprès du fabricant à travers un système simplifié des collectes . exemple : 5bouteilles vides  = 1 bouteille d'eau pleine","Better waste facilities","Remplacer peu à peu le plastique par un système biodégradable ","non"
"2025/06/19 12:04:53 PM GMT+4","République Démocratique du Congo","65 and above","Female","Master’s degree or higher","Government employee","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Heard about it but unsure","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Le cancer de l'appareil digestif, du sang","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","No","None","NGOs","","Integration into school curricula;Public-private partnerships","","Health education","",""
"2025/06/19 1:23:38 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Health professional","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Scientific publications;School/University","Yes","inflammatory diseases, cancers, endocrine diseases","No","TV","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","No","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Private companies;I’m not sure","I believe everything is to be done.","Increased recycling infrastructure;Integration into school curricula;Incentives for plastic alternatives","I try to be rational in my purchases by avoiding packaged ready-to-consume products as much as possible, I sort the waste.I reuse what can be reused.","Community leadership","Prohibit the production","Nothing"
"2025/06/19 4:13:22 PM GMT+4","République Démocratique du Congo","25-34","Male","Bachelor’s degree","Health professional","Public Sector","Occasionally","Roadsides;Rivers/Lakes;Markets or open-air areas","Somewhat","Freshwater ecosystems;Marine/coastal areas","Extremely concerned","Very knowledgeable","Radio;Social Media;Scientific publications;NGOs;School/University;Religious institutions","Yes"," J’ai entendu dire que les microplastiques peuvent provoquer des cancers à long terme. ","Yes","Radio;WhatsApp;Facebook;YouTube","Threats to marine life;Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Redesigning packaging;Upcycling waste materials;Government incentives for recyclers","I’m not sure"," Il n’y a pas assez de structures pour recycler les déchets.","Integration into school curricula;Public-private partnerships;Community-based waste management"," J’utilise un sac réutilisable quand je vais au marché.","Better waste facilities","Il faut créer plus d’unités de recyclage, On doit éduquer les enfants à l’école sur les dangers du plastique et Mettre des amendes pour ceux qui jettent les plastiques dans la rue.","Dans mon quartier, nous avons lancé un programme de recyclage avec les jeunes,  Je pense qu’il faudrait impliquer davantage les leaders communautaires et Il serait bien d’avoir des ateliers pour apprendre à réutiliser le plastique."
"2025/06/19 5:09:42 PM GMT+4","République Démocratique du Congo","45-54","Male","Bachelor’s degree","Government employee","Public Sector","Frequently","Markets or open-air areas","Yes","Agricultural land","Moderately concerned","Somewhat knowledgeable","Television;Radio","Yes","No","Yes","TV;WhatsApp","Microplastics in drinking water","Not at all","Yes","None","Government","","National awareness campaigns","","Better waste facilities","","Question french"
"2025/06/19 5:12:26 PM GMT+4","République Démocratique du Congo","45-54","Male","Master’s degree or higher","Government employee","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems","Moderately concerned","Very knowledgeable","Community leaders","Yes","","Yes","WhatsApp","Microplastics in drinking water","Very significantly","Yes","Government incentives for recyclers","Government","","Public-private partnerships","","Health education","",""
