"Timestamp","1. Pays de résidence","2. Tranche d’âge","3. Genre","4. Niveau d’éducation le plus élevé","5.  Profession / Rôle professionnel ","6.  Secteur d’activité ","7. Observez-vous une pollution plastique visible (macroplastiques) dans votre communauté ?","8. Dans quels environnements rencontrez-vous le plus souvent des déchets plastiques ? (Cochez tout ce qui s’applique)","9. Êtes-vous conscient(e) des microplastiques en tant que problème environnemental ou sanitaire ?","10. De votre point de vue, quels écosystèmes sont les plus affectés par la pollution plastique dans votre région ? (Cochez tout ce qui s’applique)","11.  Dans quelle mesure êtes-vous préoccupé(e) par les impacts environnementaux et sanitaires des microplastiques ? ","12. Quel est votre niveau de connaissance sur les causes et les effets de la pollution par les microplastiques ?","13. Quelles sources d’information influencent votre compréhension des microplastiques ? (Cochez tout ce qui s’applique)","14. Pensez-vous que les microplastiques affectent la santé humaine ?","15. Quels effets spécifiques sur la santé avez-vous entendus (le cas échéant) ?","16. Avez-vous vu ou entendu des reportages médiatiques sur les microplastiques ou la pollution plastique au cours des six derniers mois ?","17. Quelles plateformes communiquent le mieux les enjeux environnementaux dans votre pays ? (Classez vos 3 préférées)","18. Quels messages retenez-vous le plus des médias ? (Cochez tout ce qui s’applique)","19. Dans quelle mesure la couverture médiatique a-t-elle influencé votre comportement ou votre préoccupation ?","20. Avez-vous déjà entendu parler du concept d’économie circulaire ?","21. Quelles actions associez-vous à l’économie circulaire ? (Cochez tout ce qui s’applique)","22. Quels secteurs de votre pays travaillent activement à la mise en œuvre de pratiques d’économie circulaire ? (Cochez tout ce qui s’applique)","23. Quels sont les plus grands défis à l’économie circulaire dans votre région ?","24.  Quelles mesures soutenez-vous pour lutter contre la pollution plastique dans votre pays ? (Choisissez jusqu’à 3) ","25.  Quelles actions entreprenez-vous personnellement pour réduire les déchets plastiques ?","26. Qu’est-ce qui vous motiverait (ou motiverait d’autres personnes) à agir davantage ?","27. Quelles actions supplémentaires devraient être entreprises pour lutter contre la pollution par les plastiques et les microplastiques ?","28. Avez-vous d’autres suggestions, recommandations ou expériences que vous souhaiteriez partager ? (Optionnel)"
"2025/08/19 12:56:45 PM GMT+4","Niger","25-34","Homme","Master ou diplôme supérieur","","Secteur privé","Fréquemment","Décharges urbaines;Marchés ou espaces en plein air","Oui","Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires","Oui","","Pas sûr(e)","Télévision;Facebook;Forums publics","Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux;Changements de politiques gouvernementales","Légèrement","Non","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Communautés locales;ONG","Les personnes qualifiées ;
Le financement.","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","La sensibilisation;
Acheminement des déchets ménagers jusqu'à dépotoir autorisé.","Éducation à la santé","RAS ",""
"2025/08/19 3:51:25 PM GMT+4","Niger","35-44","Homme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Décharges urbaines","Oui","Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","École / Université","Oui","Pollution atmosphérique et toxiques ","Oui","Télévision","Contamination de la chaîne alimentaire","Légèrement","Non","Réutilisation et réparation des produits","Je ne sais pas","Autosuffisance agricole ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Intégration dans les programmes scolaires","Interdiction de l'achater","Éducation à la santé","Sensibilisation ","Persévérance dans la sensibilisation "
"2025/08/19 4:54:17 PM GMT+4","Burkina Faso ","25-34","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Academic/Research","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux","Oui","- Troubles et perturbations endocriniennes 
- Infertilité plausible 
- Risques de cancers 
- Risque sur le développement fœtal et la croissance de l’enfant ","Pas sûr(e)","Facebook;YouTube","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Incitations gouvernementales pour les recycleurs","Gouvernement;Startups;ONG","- Manque de vision et de politique gouvernementale adaptées
- Manque de financement de la recherche 
- Manque de subventions et d’accompagnement des acteurs du domaine ","Renforcement des infrastructures de recyclage;Partenariats public-privé;Gestion des déchets communautaire","- Tri des déchets 
- Ne pas jeter les déchets dans la rue
- Parler autour de moi ","Meilleures infrastructures de gestion des déchets","- Élaborer des politiques publiques basées sur les évidences et adaptées aux réalités locales 
- Encourager l’innovation 
- Plus de financement de la recherche 
- Mettre en place des subventions et d’accompagnement des acteurs du domaine de l’économie circulaire ","Merci beaucoup et félicitations à vous "
"2025/08/19 6:42:44 PM GMT+4","Niger","25-34","Homme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur privé","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université","Oui","Conférence de Genève où les pays producteurs de plastique sont en discutions avec les autres pays pour trouver une solution à la pollution des plastiques à l'échelle mondiale.","Oui","Télévision;Journaux;Forums publics","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Changements de politiques gouvernementales","Modérément","Non","Aucune","Je ne sais pas","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Gestion des déchets communautaire","La collection des plastiques achete et le recyclage. De fois l'insineration ","Meilleures infrastructures de gestion des déchets","Réduire l'utilisation des plastiques, recyclage et l'utilisation des plastiques biodégradable.",""
"2025/08/19 8:28:29 PM GMT+4","Niger","35-44","Homme","Master ou diplôme supérieur","Employé(e) du gouvernement","Secteur public","Fréquemment","Marchés ou espaces en plein air","Oui","Zones urbaines","Extrêmement préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Publications scientifiques","Oui","Pollution des déchets plastiques ","Oui","Journaux","Changements de politiques gouvernementales","Modérément","Non","Surcyclage des déchets","Écoles / universités","J'en sais rien vraiment ","Renforcement des infrastructures de recyclage","Détruire les plastiques après avoir les utiliser ","Éducation à la santé","Il faudrait que le gouvernement applique la loi deja existant à cet effet.... encourager également la biodégradable.","Que la loi soit appliquée sans état d'âme tout simplement."
"2025/08/19 10:39:33 PM GMT+4","Niger","25-34","Homme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Academic/Research","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;École / Université;Leaders communautaires;Institutions religieuses","Oui","","Oui","Télévision;Radio;TikTok;Journaux;Forums publics;Institutions religieuses","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire","","","","","","","","","",""
"2025/08/20 2:27:56 PM GMT+4","Niger","35-44","Homme","Master ou diplôme supérieur","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Institutions religieuses","Oui","Effets respirations (asthme,fibrose pulmonaire etc), contamination de la chaîne alimentaire ","Oui","Télévision;WhatsApp;Facebook;YouTube","Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Entreprises privées;Écoles / universités;ONG","Financement et la perception sociale ","Campagnes nationales de sensibilisation;Incitations pour les alternatives au plastique","Sensibilisation et réduction d'utilisation personnelle des plastiques à usage unique ","Incitations financières","Adaptation et mise en application des loi interdisant leur usage ","Implication forte des universitaires et des décideurs politiques dans sensibilisation,la formation et les études sur les impacts négatifs ainsi que les avantages de l'économie circulaire "
"2025/08/21 8:01:40 AM GMT+4","Madagascar ","18-24","Femme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Légèrement préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Réseaux sociaux;Leaders communautaires","Oui","Cancer","Non","Télévision;Radio;Facebook;Journaux","Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Aucune","Je ne sais pas","Je NE sais pas ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets","Je NE jete pas mes dechets partout","Éducation à la santé","Je NE sais pas ","Je NE sais pas "
"2025/08/21 1:31:18 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Agriculteur / Agricultrice","Secteur informel","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Publications scientifiques;ONG","Oui","Infections ","Oui","Télévision","Menaces pour la vie marine;Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Incitations gouvernementales pour les recycleurs","Startups;ONG","Le manque de matériel ","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets","J'évite les embouteillages en plastique ","Incitations financières","",""
"2025/08/21 2:18:46 PM GMT+4","Côte d’ivoire ","25-34","Homme","Master ou diplôme supérieur","Fonctionnaire ","Secteur public","Fréquemment","Bords de routes;Plages;Marchés ou espaces en plein air","Oui","Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Publications scientifiques;École / Université","Oui","Ces microplastiques sont la causes de nombreuses maladies aux nombres desquels ont peut citer la pneumonia ","Non","Aucune de celles ci sauf si la personne recherche l’information ","Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Légèrement","Oui","Recyclage industriel","Startups;Communautés locales","L’implication des politiques ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Gestion des déchets communautaire","J’en utilise moins et je les jettes dans les endroits approprié pour ( poubelles etc...)","Meilleures infrastructures de gestion des déchets","Sensibilisation accrue de la population ",""
"2025/08/21 2:19:28 PM GMT+4","Côte d’Ivoire ","35-44","Femme","Master ou diplôme supérieur","Travailleur dans le btp","Secteur privé","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux","Oui","","Oui","Télévision","Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Légèrement","Non","Recyclage industriel;Incitations gouvernementales pour les recycleurs","Gouvernement;Entreprises privées;ONG","","Campagnes nationales de sensibilisation","L’utilisation réduite des plastiques ","Éducation à la santé","La sensibilisation dans les établissements publics et privé sur tout l’étendu du territoire ",""
"2025/08/21 2:40:24 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","En quête d'emploi ","Ras","Fréquemment","Bords de routes;Marchés ou espaces en plein air;Caniveaux ","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux","Non","Je sais juste que ça cause des intoxication, au niveau des effets, je n'ai pas assez d'informations ","Oui","Télévision;Facebook;YouTube","Menaces pour la vie marine;Microplastiques dans l’eau potable","Légèrement","Oui","Recyclage industriel","Je ne sais pas","Je ne suis pas assez informé ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Pour réduire les déchets plastiques, je vais privilégier l'usage les sacs réutilisables, favoriser les produits à emballage plastique biodégradable.","Meilleures infrastructures de gestion des déchets","Un renforcement des loi liées à la gestion des déchets plastiques, une sensibilisation à grande échelle de la population","Non"
"2025/08/21 3:45:31 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Publications scientifiques;École / Université","Oui","Intoxication alimentaires, risques de cancers ","Oui","Télévision","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Recyclage industriel","Entreprises privées","Pouvoir amener les population à adopter les notions de réutiliser et de recycler dans leurs habitudes ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","Evite au maximum leur utilisation dans mon quotidient ","Incitations financières","",""
"2025/08/21 3:49:05 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires;Institutions religieuses;Aucune","Oui","Problèmes respiratoires ","Oui","Télévision;Facebook;Journaux","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales;Je ne me souviens d’aucun","Très fortement","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Entreprises privées;Startups;Écoles / universités;ONG","La sensibilisation des populations ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Les transformés ou recyclés","Incitations financières","",""
"2025/08/21 3:53:49 PM GMT+4","Niger","35-44","Homme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Academic/Research","Fréquemment","Bords de routes;Terres agricoles","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;École / Université","Oui","Maladies Cardiovasculaires ","Oui","Télévision;Radio;WhatsApp;Facebook;TikTok;YouTube","Menaces pour la vie marine;Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux","Modérément","Oui","Surcyclage des déchets","Entreprises privées;Écoles / universités","Recyclage des déchets agricoles ","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Utilisation des bio-plastiques ","Leadership communautaire","Former les enfants sur le sujet dès le préscolaire.",""
"2025/08/21 4:13:17 PM GMT+4","Côte d'Ivoire","25-34","Homme","Licence (Baccalauréat)","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Décharges urbaines","Oui","Zones urbaines","Modérément préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Télévision;Réseaux sociaux","Oui","","Oui","Télévision","Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Très fortement","Non","Aucune","Je ne sais pas","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation","placé assez de boubelle pas trop ecart .","Meilleures infrastructures de gestion des déchets","Ramassé le plus vite possible les boubelles","Non"
"2025/08/21 4:14:55 PM GMT+4","Togo","25-34","Homme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Academic/Research","Fréquemment","Bords de routes;Rivières / Lacs;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Réseaux sociaux;Publications scientifiques;École / Université","Pas sûr(e)","Les microplastiques peuvent avoir des effets nocifs sur les organes vitaux et de systèmes biologiques de l'être vivant","Oui","Télévision;YouTube;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages","Gouvernement;Entreprises privées;Communautés locales;Écoles / universités","Le plus gros défis c'est le recyclage des déchets pour leur réutilisation futur.","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Je ne jette presque jamais mes déchets plastiques à l'air libre; Je préfère l'utilisation des biodégradables","Incitations financières","Il faudrait limiter la production de plastiques à usage unique en faveur des biodégradables, développer des filières de recyclage avancés pour la gestion de ces déchets","Dans notre Université de Lomé par exemple, le président de l'Université a interdit l'entrée dans plastiques dans l'enceinte. Et ce depuis  deux, trois ans, on ne voit plus de déchets plastiques trainer comme ce fut le cas par le passé. Au début ce n'était pas facile parce que si tu voulais acheter quelques choses, on t'emballait ça dans un papier dégradable et puis avec le temps, c'est devenu normal et une habitude pour le monde. Je pense des décisions de ce genre permettraient de diminuer drastiquement la pollution de nos milieux de vies."
"2025/08/21 4:25:22 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Éducation secondaire","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;ONG;École / Université","Oui","Les maladies ","Oui","Télévision;Radio;Facebook;Journaux","Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Non","Aucune","Je ne sais pas","Aucune idée ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Gestion des déchets communautaire","Renforcer le système de recyclage ","Incitations financières","Les messages d'éducation ","Non"
"2025/08/21 4:49:47 PM GMT+4","Burkina Faso","18-24","Homme","Licence (Baccalauréat)","Génie Civil","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Terres agricoles;Forêts;Zones urbaines","Modérément préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;École / Université","Oui","Le cancer","Oui","Télévision;Radio;Journaux;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel","Entreprises privées;ONG"," recycler tous les microplastiques","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Utilisation des emballages biodégradables ","Éducation à la santé","Multiplier les sensibilisation ","Non "
"2025/08/21 5:29:20 PM GMT+4","Côte d’Ivoire ","25-34","Homme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Plages;Décharges urbaines;Marchés ou espaces en plein air;Les caniveaux ","Oui","Écosystèmes d’eau douce;Zones marines / côtières","Modérément préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;École / Université","Pas sûr(e)","Inflammation, mais je ne suis pas sûr ","Non","Facebook;TikTok;YouTube","Menaces pour la vie marine;Je ne me souviens d’aucun","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables","Écoles / universités","Sensibilisation, gestion des déchets insuffisante …","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","C’est un peu difficile de s’en défaire actuellement, mais j’utilise une gourde plutôt que bouteille d’eau, je privilégie des produits avec moins d’emballages, utiliser un sac réutilisable…..","Éducation à la santé","Au niveau de l’État
	•	Mettre en place des lois restrictives contre les plastiques à usage unique.
	•	Subventionner les alternatives écologiques (emballages biodégradables).
	•	Renforcer les infrastructures de gestion des déchets.

2. Au niveau industriel et technologique
	•	Investir dans des technologies de dépollution.
	•	Favoriser le recyclage chimique et mécanique des plastiques.

3. Au niveau éducatif et communautaire
	•	Sensibiliser la population à la réduction des déchets plastiques dès l’école.
	•	Organiser des campagnes de nettoyage.
",""
"2025/08/21 6:40:50 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Licence (Baccalauréat)","Travailleur(euse) du secteur informel","Secteur informel","Fréquemment","Bords de routes;Rivières / Lacs;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Légèrement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG","Oui","La pollution des eaux ","Oui","Télévision","Menaces pour la vie marine;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel","Entreprises privées;Startups","Faible implication de la population. ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation","J'utilise une gourde au lieu de sachet d'eau quand je sors. ","Éducation à la santé","Il faut converger vers les objets biodégradables. ","Financer les startups dans ce domaine. "
"2025/08/21 8:12:56 PM GMT+4","Cote d'Ivoire ","35-44","Homme","Licence (Baccalauréat)","Enseignant(e) / Éducateur(trice)","Secteur public","Occasionnellement","Décharges urbaines","Moyennement","Écosystèmes d’eau douce","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;École / Université","Oui","Pollution de l'air et de l'eau","Oui","Télévision","Dégâts climatiques et environnementaux","Modérément","Non","Aucune","Je ne sais pas","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation","Sensibilisation ","Incitations financières","Construire des usines de traitement des déchets plastiques ",""
"2025/08/21 9:19:08 PM GMT+4","Sénégal ","35-44","Homme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Secteur public","Fréquemment","Marchés ou espaces en plein air","Moyennement","Zones urbaines","Modérément préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Réseaux sociaux;École / Université","Oui","","Non","Télévision;WhatsApp;Facebook","Menaces pour la vie marine;Dégâts climatiques et environnementaux","Modérément","Oui","Réutilisation et réparation des produits;Surcyclage des déchets","Gouvernement;Écoles / universités","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Partenariats public-privé;Gestion des déchets communautaire","Sensibilisation de la population, dépôt des poubelles ","Meilleures infrastructures de gestion des déchets","Faire des émissions de sensibilisation ",""
"2025/08/21 11:24:00 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Occasionnellement","Bords de routes;Décharges urbaines","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux","Oui","","Oui","Télévision;Forums publics","Menaces pour la vie marine","Très fortement","Oui","Aucune","Je ne sais pas","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Gestion des déchets communautaire","","Meilleures infrastructures de gestion des déchets","",""
"2025/08/22 2:48:40 AM GMT+4","Côte d'Ivoire","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Décharges urbaines","Oui","Zones marines / côtières;Terres agricoles","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques;École / Université","Oui","","Non","TikTok","Menaces pour la vie marine;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Startups;Écoles / universités","Agriculture durable, bioplastiques","Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique","Sensibiliser la population consommatrice des plastiques à leurs dangers sur la santé.","Éducation à la santé","",""
"2025/08/22 10:51:42 AM GMT+4","Côte d'Ivoire ","25-34","Femme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Plages;Marchés ou espaces en plein air","Oui","Zones marines / côtières","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;École / Université","Oui","Les infections de la peau ","Oui","Télévision","Menaces pour la vie marine","Modérément","Non","Réutilisation et réparation des produits","ONG","","Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Gestion des déchets communautaire","Brûler les plastiques ","Éducation à la santé","Surveillance des plages ou bordures de routes avec des caméras.","Amender les personnes qui favorisent la pollution "
"2025/08/22 11:13:25 AM GMT+4","Togo","25-34","Femme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Occasionnellement","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières","Modérément préoccupé(e)","Assez informé(e)","Publications scientifiques","Oui","Cancer, diabète, trouble neurologique ","Pas sûr(e)","Télévision;Journaux;Forums publics","Menaces pour la vie marine;Dégâts climatiques et environnementaux","Légèrement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Gouvernement;Entreprises privées;Communautés locales","","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets","J'en limite l'usage ","Meilleures infrastructures de gestion des déchets","",""
"2025/08/22 1:24:00 PM GMT+4","Côte d'Ivoire ","25-34","Femme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Réseaux sociaux;Publications scientifiques","Oui","Problème respiratoire, perturbation endocriniens...","Non","Télévision;Facebook;TikTok;YouTube","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire","Modérément","Non","","","","Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets","","","",""
